MoleculeName
UniProt:O14867 BACH1
miRBase:MI0000100 MIR98
ENSEMBL:ENSG00000124762 CDKN1A
ENSEMBL:ENSG00000147889 CDKN2A
ENSEMBL:ENST00000304494 CDKN2A
ENSEMBL:ENST00000579755 CDKN2A
miRBase:MI0000081 MIR24-2
miRBase:MI0000080 MIR24-1
ENSEMBL:ENSG00000157557 ETS2
ENSEMBL:ENSG00000147883 CDKN2B
ENSEMBL:ENSG00000163453 IGFBP7
ENSEMBL:ENSG00000136244 IL6
ENSEMBL:ENSG00000169429 IL8
ENSEMBL:ENSG00000172216 CEBPB
ENSEMBL:ENSG00000115008 IL1A
ENSEMBL:ENSG00000074266 EED
ENSEMBL:ENSG00000106462 EZH2
ENSEMBL:ENSG00000071054 MAP4K4
ENSEMBL:ENSG00000154310 TNIK
ENSEMBL:ENSG00000141503 MINK1
ENSEMBL:ENSG00000132510 KDM6B
ENSEMBL:ENSG00000178691 SUZ12
ENSEMBL:ENSG00000070669 ASNS
ENSEMBL:ENSG00000146678 IGFBP1
ENSEMBL:ENSG00000175197 DDIT3
ENSEMBL:ENSG00000108691 CCL2
ENSEMBL:ENSG00000051108 HERPUD1
ENSEMBL:ENSG00000162772 ATF3
ENSEMBL:ENST00000404241 ATF4
ENSEMBL_Homo_sapiens_TRANSCRIPT:ENST00000216037 Xbp1 mRNA (unspliced)
ENSEMBL_Homo_sapiens_TRANSCRIPT:ENST00000344347 Xbp1 mRNA (spliced)
ENSEMBL:ENSG00000087274 ADD1
ENSEMBL:ENSG00000174851 YIF1A
ENSEMBL:ENSG00000137076 TLN1
ENSEMBL:ENSG00000166340 TPP1
ENSEMBL:ENSG00000182934 SRPR
ENSEMBL:ENSG00000090520 DNAJB11
ENSEMBL:ENSG00000162298 SYVN1
ENSEMBL:ENSG00000012232 EXTL3
ENSEMBL:ENSG00000138073 PREB
ENSEMBL:ENSG00000158008 EXTL1
ENSEMBL:ENSG00000157014 TATDN2
ENSEMBL:ENSG00000204843 DCTN1
ENSEMBL:ENSG00000102580 DNAJC3
ENSEMBL:ENSG00000154832 CXXC1
ENSEMBL:ENSG00000198380 GFPT1
ENSEMBL:ENSG00000108433 GOSR2
ENSEMBL:ENSG00000134109 EDEM1
ENSEMBL:ENSG00000124783 SSR1
ENSEMBL:ENSG00000074842 C19orf10
ENSEMBL:ENSG00000120742 SERP1
ENSEMBL:ENSG00000068971 PPP2R5B
ENSEMBL:ENSG00000070540 WIPI1
ENSEMBL:ENSG00000261052 SULT1A3
ENSEMBL:ENSG00000109501 WFS1
ENSEMBL:ENSG00000013573 DDX11
ENSEMBL:ENSG00000105723 GSK3A
ENSEMBL:ENSG00000143321 HDGF
ENSEMBL:ENSG00000124702 KLHDC3
ENSEMBL:ENSG00000106080 FKBP14 gene
ENSEMBL:ENSG00000144867 SRPRB
ENSEMBL:ENSG00000128590 DNAJB9
ENSEMBL:ENSG00000159720 ATPV0D1
ENSEMBL:ENSG00000184205 TSPYL2
ENSEMBL:ENSG00000116809 ZBTB17
ENSEMBL:ENSG00000065485 PDIA5
ENSEMBL:ENSG00000044090 CUL7
ENSEMBL:ENSG00000100196 KDELR3
ENSEMBL:ENSG00000138674 SEC31A
ENSEMBL:ENSG00000072778 ACADVL
ENSEMBL:ENSG00000160691 SHC1
ENSEMBL:ENSG00000243708 PLA2G4B
ENSEMBL:ENSG00000162694 EXTL2
ENSEMBL:ENSG00000160789 LMNA
ENSEMBL:ENSG00000101199 ARFGAP1
ENSEMBL:ENSG00000149428 HYOU1
ENSEMBL:ENSG00000175215 CTDSP2
ENSEMBL:ENSG00000143870 PDIA6
ENSEMBL:ENSG00000166598 HSP90B1
ENSEMBL:ENSG00000179218 CALR
ENSEMBL:ENSG00000044574 HSPA5
ENSEMBL:ENSG00000100219 XBP1
ENSEMBL:ENSG00000181061 HIGD1A
ENSEMBL:ENSG00000107159 CA9
ENSEMBL:ENSG00000130427 EPO
ENSEMBL:ENSG00000112715 VEGFA
ENSEMBL:ENST00000423777 ATF5
ENSEMBL:ENSG00000101255 TRIB3
ENSEMBL:ENST00000200453 PPP1R15A
ENSEMBL:ENSG00000087074 PPP1R15A
ENSEMBL:ENST00000346473 DDIT3
ENSEMBL:ENSG00000169136 ATF5
ENSEMBL:ENSG00000128965 CHAC1
ENSEMBL:ENSG00000106070 GRB10
EMBL:M11167 28S rRNA
EMBL:J01866 5.8S rRNA
EMBL:V00589 5S rRNA
EMBL:X03205 18S rRNA
ENSEMBL:ENSG00000159176 CSRP1
ENSEMBL:ENSG00000074317 SNCB
